price,year_model,mileage,fuel_type,mark,model,fiscal_power,city
41850.0,2012.0,104999.5,Diesel,Renault,EGANE CABRIOLET,7.0, Marrakech
62100.00000000001,2014.0,104999.5,Diesel,Volkswagen,Touran,8.0, Tanger
23760.0,1999.0,194999.5,Diesel,cedes-Benz,Classe C,, Nador
17820.0,2011.0,104999.5,Diesel,Citroen,Berling,, Bni Ansar
37800.0,2014.0,72499.5,Diesel,Renault,14,6.0, Médiouna
26730.0,2004.0,374999.5,Diesel,cedes-Benz,Vit,8.0, Marrakech
17010.0,2012.0,77499.5,Ess,Daci,Sander,5.0, Casablanca
14850.000000000002,2002.0,274999.5,Diesel,Renault,gan,7.0, Rabat
14850.000000000002,1995.0,104999.5,Diesel,Renault,19,, Agadir
44820.0,2015.0,67499.5,Diesel,Volkswagen,Jetta,6.0, Casablanca
16200.000000000002,2005.0,424999.5,Diesel,Renault,gan,6.0, Mohammedia
22950.0,2010.0,124999.5,Ess,Seat,Leon,7.0, Tanger
9180.0,1987.0,27499.5,Diesel,cedes-Benz,250,10.0, Casablanca
18360.0,2008.0,154999.5,Diesel,Renault,Kang,, Fès
23760.0,2013.0,104999.5,Diesel,Daci,Dokker,, Casablanca
44550.0,2015.0,92499.5,Diesel,Ki,Carens,6.0, Marrakech
15120.000000000002,2004.0,184999.5,Diesel,Volkswagen,P,8.0, Rabat
33750.0,2013.0,144999.5,Diesel,Hyundai,i 30,, Casablanca
75600.0,2013.0,224999.5,Diesel,Audi,A6,8.0, Marrakech
23760.0,2008.0,174999.5,Diesel,Citroen,C4,6.0, Taza
15660.000000000002,1992.0,274999.5,Diesel,cedes-Benz,190,, Rabat
8640.0,1999.0,12499.5,Diesel,Fiat,Un,7.0, Fès
15660.000000000002,2006.0,184999.5,Ess,Hond,Jazz,8.0, Temara
14040.000000000002,2008.0,12499.5,Ess,Renault,Laguna,11.0, Nador
14310.000000000002,2008.0,174999.5,Ess,Hyundai,Accent,, Rabat
12960.0,2003.0,82499.5,Ess,Renault,Cli,7.0, Meknès
13500.0,2005.0,57499.5,Ess,Fiat,Siena,, Casablanca
10260.0,2001.0,184999.5,Ess,Renault,Cli,8.0, Temara
6750.0,1987.0,2499.5,Diesel,cedes-Benz,240,, Casablanca
14040.000000000002,2008.0,12499.5,Ess,Renault,Laguna,11.0, Nador
37800.0,1988.0,22499.5,Diesel,cedes-Benz,410,12.0, Salé
44550.0,2017.0,97499.5,Diesel,Ford,Focus,, El Jadida
31050.000000000004,2009.0,224999.5,Diesel,Hyundai,Santa F,8.0, Meknès
22680.0,2008.0,104999.5,Diesel,Ford,Focus,, Salé
8910.0,1984.0,7499.5,Diesel,Renault,R11,7.0, Sidi Slimane
9990.0,2004.0,194999.5,Ess,Hond,Accor,11.0, Fès
11610.0,1989.0,224999.5,Diesel,Peugeot,405,, Nador
21060.0,2007.0,194999.5,Diesel,Citroen,C4,, Temara
8100.000000000001,1984.0,7499.5,Diesel,Volkswagen,Golf,6.0, Tanger
23760.0,2002.0,27499.5,Diesel,Volkswagen,GOLF 4,8.0, Tétouan
6750.0,1989.0,2499.5,Diesel,Peugeot,405,8.0, Casablanca
37800.0,2014.0,72499.5,Diesel,Renault,14,6.0, Médiouna
17010.0,1997.0,224999.5,Diesel,cedes-Benz,220,, Rabat
22950.0,2014.0,174999.5,Diesel,Fiat,Dob,, Agadir
21330.0,2006.0,164999.5,Diesel,Hyundai,Tucson,8.0, Rabat
21600.0,2008.0,62499.5,Ess,Hond,CR-V,11.0, Casablanca
15660.000000000002,2008.0,22499.5,Diesel,Citroen,Berling,7.0, Tétouan
5400.0,1992.0,194999.5,Ess,Nissan,Sunny,9.0, Casablanca
31050.000000000004,2014.0,114999.5,Diesel,Citroen,C4,6.0, Casablanca
31590.000000000004,2012.0,124999.5,Diesel,Opel,Astra,7.0, Casablanca
32400.000000000004,2011.0,114999.5,Diesel,Ki,Sorent,9.0, Rabat
9450.0,2009.0,22499.5,Ess,Hyundai,Accent,6.0, El Jadida
17550.0,2006.0,224999.5,Diesel,Renault,Kang,, Settat
16200.000000000002,2002.0,17499.5,Ess,Volkswagen,Passat,, Marrakech
25380.0,2012.0,154999.5,Diesel,Seat,Ibiza,, Taroudant
19980.0,2009.0,224999.5,Diesel,Renault,Kang,, Tanger
16200.000000000002,2007.0,224999.5,Diesel,Citroen,C4 Picass,6.0, Casablanca
15390.000000000002,1990.0,324999.5,Diesel,cedes-Benz,190,10.0, Rabat
48600.0,2011.0,104999.5,Ess,Audi,A5,11.0, Casablanca
56700.00000000001,2012.0,12499.5,Diesel,Volkswagen,CC,8.0, Fès
5130.0,2005.0,2499.5,Diesel,Fiat,Un,6.0, Tanger
10260.0,2003.0,7499.5,Diesel,Fiat,Pali,, Fès
44550.0,2007.0,154999.5,Diesel,cedes-Benz,220,9.0, Casablanca
31590.000000000004,2009.0,174999.5,Diesel,Hyundai,Tucson,, Marrakech
39690.0,2008.0,164999.5,Diesel,cedes-Benz,220,8.0, Casablanca
29700.000000000004,2012.0,104999.5,Diesel,Citroen,C4,6.0, Tanger
32130.000000000004,2015.0,77499.5,Diesel,Daci,Duster,6.0, Casablanca
33210.0,2016.0,32499.5,Diesel,Daci,Duster,6.0, Casablanca
8640.0,1998.0,2499.5,Ess,Renault,19,9.0, Temara
28890.000000000004,2010.0,154999.5,Diesel,Opel,Astra,7.0, Tétouan
7290.000000000001,2002.0,7499.5,Diesel,Fiat,Un,, Marrakech
26460.0,2015.0,92499.5,Diesel,Daci,Dokker,6.0, El Jadida
36450.0,2013.0,104999.5,Diesel,Peugeot,Boxer,9.0, Casablanca
6750.0,1989.0,2499.5,Diesel,Peugeot,405,8.0, Casablanca
62100.00000000001,2002.0,97499.5,Ess,Citroen,C5,10.0, Marrakech
12150.0,2010.0,164999.5,Ess,Ki,Picant,6.0, Rabat
37800.0,2015.0,154999.5,Diesel,Daci,Duster,, Ouarzazate
13500.0,1993.0,374999.5,Diesel,Renault,19,, Safi
810000.0,1984.0,37499.5,Diesel,Peugeot,205,5.0, Agadir
13500.0,2006.0,224999.5,Diesel,Citroen,C15,7.0, Marrakech
36450.0,2015.0,82499.5,Diesel,Renault,Kang,, Agadir
13230.0,2000.0,27499.5,Diesel,Renault,Laguna,7.0, Azemmour
45090.0,1995.0,164999.5,Diesel,cedes-Benz,310D,, Fès
36720.0,2012.0,154999.5,Diesel,Volkswagen,P,6.0, Tanger
10260.0,2009.0,2499.5,Ess,Zoty,Noma,, Casablanca
12960.0,2008.0,144999.5,Ess,Daci,Logan,6.0, Agadir
14040.000000000002,1994.0,324999.5,Diesel,Renault,R19,, Agadir
22950.0,2012.0,134999.5,Diesel,Daci,Dokker,6.0, El Jadida
18360.0,2007.0,274999.5,Diesel,Toyot,Corolla,, Safi
8640.0,2001.0,224999.5,Ess,Nissan,AXIMA,, Kénitra
11340.0,2003.0,224999.5,Diesel,Autres,Autres,6.0, Marrakech
37800.0,2013.0,114999.5,Diesel,Citroen,Berling,6.0, Errachidia
45900.0,2007.0,124999.5,Diesel,cedes-Benz,220,8.0, Nador
12960.0,2008.0,67499.5,Ess,Ki,Picant,5.0, Casablanca
12825.0,2008.0,224999.5,Ess,Daci,Logan,8.0, Ouarzazate
17010.0,2008.0,184999.5,Diesel,itsubishi,pajer,11.0, Casablanca
9450.0,2003.0,174999.5,Diesel,Citroen,XSARA,, Rabat
13230.0,2003.0,224999.5,Diesel,Ford,n,8.0, Safi
26460.0,2009.0,184999.5,Diesel,Toyot,RAV 4,8.0, Rabat
19170.0,2001.0,224999.5,Diesel,Volkswagen,GOLF 4,, Oujda
24300.0,2010.0,154999.5,Diesel,Renault,gan,6.0, Temara
9450.0,1999.0,104999.5,Ess,Fiat,Pali,6.0, Salé
39150.0,2012.0,134999.5,Diesel,Volkswagen,GOLF 6,6.0, Agadir
36180.0,2011.0,164999.5,Diesel,BMW,Serie 1,8.0, Rabat
51300.0,2011.0,124999.5,Diesel,BMW,Serie 3,, Casablanca
72900.0,2013.0,104999.5,Diesel,cedes-Benz,220,9.0, Meknès
14580.000000000002,2005.0,194999.5,Diesel,Peugeot,Partner,7.0, Nador
16200.000000000002,2012.0,92499.5,Ess,Hyundai,i 10,6.0, Rabat
17550.0,2005.0,224999.5,Diesel,Renault,Kang,, Tanger
13500.0,2010.0,97499.5,Ess,Fiat,Pint,7.0, Khouribga
8640.0,1989.0,164999.5,Ess,Seat,ARBELLA,, Tanger
17010.0,2003.0,144999.5,Diesel,Renault,gan,7.0, Marrakech
67500.0,2013.0,124999.5,Diesel,Volkswagen,GOLF 7,8.0, Casablanca
7020.000000000001,1987.0,500000.0,Diesel,Renault,SUPER 5,7.0, Fès
10260.0,2000.0,194999.5,Ess,Volkswagen,P,8.0, Casablanca
3510.0000000000005,1983.0,22499.5,Ess,Renault,R9,8.0, Kénitra
45360.0,2011.0,164999.5,Diesel,Audi,Q5,12.0, Casablanca
9720.0,1996.0,7499.5,Diesel,Peugeot,405,8.0, Rabat
11610.0,2001.0,274999.5,Ess,Fiat,Un,, Rabat
22140.0,2008.0,224999.5,Diesel,Hond,Accor,9.0, Casablanca
18360.0,2006.0,164999.5,Diesel,Peugeot,407,8.0, Meknès
28080.000000000004,2011.0,154999.5,Diesel,Ford,Focus,7.0, Fès
3510.0000000000005,1988.0,474999.5,Diesel,Fiat,Un,5.0, Casablanca
16740.0,2009.0,194999.5,Diesel,Daci,Logan,, Casablanca
29160.000000000004,2008.0,194999.5,Diesel,Volkswagen,Passat,, Casablanca
27000.0,2008.0,424999.5,Diesel,Renault,aster,, Meknès
20250.0,2007.0,174999.5,Diesel,Renault,Kang,6.0, Tétouan
58050.00000000001,2016.0,164999.5,Diesel,Volkswagen,Tiguan,, Meknès
14850.000000000002,2004.0,224999.5,Diesel,Renault,Kang,, Settat
18360.0,2007.0,7499.5,Diesel,Ford,Fusion,, Béni Mellal
31050.000000000004,2010.0,224999.5,Diesel,Volkswagen,Passat,8.0, Tétouan
37530.0,2007.0,174999.5,Diesel,cedes-Benz,Classe C,, Nador
7020.000000000001,1991.0,22499.5,Ess,Peugeot,309,8.0, Casablanca
34290.0,2013.0,92499.5,Diesel,Alfa Romeo,Giulietta,6.0, Casablanca
13500.0,2012.0,2499.5,Diesel,Daci,Logan,6.0, Agadir
28350.000000000004,2008.0,174999.5,Diesel,Volkswagen,Passat,8.0, Rabat
25650.0,2004.0,97499.5,Diesel,Volkswagen,Touareg,10.0, Marrakech
13095.0,2007.0,224999.5,Diesel,Peugeot,Partner,7.0, Casablanca
58050.00000000001,2010.0,194999.5,Diesel,cedes-Benz,Classe E,9.0, Tanger
18090.0,1991.0,47499.5,Diesel,cedes-Benz,190,, Tanger
4320.0,1992.0,7499.5,Ess,BMW,Serie 3,11.0, Salé
37260.0,2016.0,67499.5,Diesel,Daci,Duster,6.0, Meknès
13095.0,2003.0,224999.5,Ess,Renault,gan,, Kénitra
42390.0,2008.0,184999.5,Diesel,cedes-Benz,220,, Rabat
22140.0,2015.0,72499.5,Diesel,Daci,Dokker,, Fès
17550.0,2004.0,87499.5,Diesel,Renault,Scenic,7.0, Casablanca
23760.0,2015.0,92499.5,Diesel,Fiat,Punt,8.0, Casablanca
15660.000000000002,2003.0,32499.5,Diesel,Peugeot,307,6.0, Casablanca
16470.0,1991.0,274999.5,Diesel,cedes-Benz,190,9.0, Tanger
46440.0,2011.0,144999.5,Diesel,BMW,Serie 1,9.0, Salé
18900.0,2008.0,124999.5,Diesel,Citroen,C5,6.0, El Jadida
54000.0,2012.0,144999.5,Diesel,Jeep,Grand Cherok,12.0, Casablanca
3240.0,1987.0,224999.5,Ess,Renault,R21,, Tanger
21330.0,2009.0,224999.5,Diesel,Citroen,C4,6.0, El Jadida
13500.0,2000.0,184999.5,Diesel,Renault,Cli,, Rabat
10260.0,2003.0,27499.5,Ess,Toyot,RAV 4,11.0, Marrakech
2160.0,1980.0,500000.0,Diesel,cedes-Benz,240,8.0, Sebt Gzoula
18630.0,2000.0,224999.5,Diesel,Renault,Scenic,7.0, Agadir
43200.0,1998.0,62499.5,Diesel,cedes-Benz,Sprinter,12.0, Béni Mellal
12960.0,2003.0,224999.5,Diesel,cedes-Benz,220,, Fès
21060.0,2006.0,274999.5,Diesel,Renault,Laguna,, Rabat
229500.00000000003,2017.0,2499.5,Ess,Nissan,PATROL,15.0, Casablanca
28890.000000000004,2010.0,124999.5,Diesel,Opel,Insignia,, Casablanca
9990.0,1991.0,224999.5,Diesel,Peugeot,405,7.0, Sidi Kacem
12960.0,2007.0,104999.5,Ess,Ki,Picant,5.0, Oujda
9450.0,1990.0,47499.5,Diesel,Volkswagen,Passat,, Tanger
31860.000000000004,2013.0,134999.5,Diesel,Opel,ANTARA,8.0, Casablanca
13500.0,2018.0,12499.5,Ess,Ki,Picant,, Nador
106650.0,2018.0,2499.5,Diesel,Toyot,Hilux,8.0, Casablanca
